subject,kind,teacher,numerator,time,day_of_week
Нелинейные системы автоматического регулирования,Семинар,Дайч Л. И.,знаменатель,09:00:00,понедельник
Теория автоматизированного электропривода,Лабораторное занятие,Казаканова Ж. Е.,числитель,09:00:00,понедельник
Электроэнергетика,Семинар,Баландин В. С.,знаменатель,09:00:00,среда
Теория автоматизированного электропривода,Лекция,Каракулин М. Л.,-,09:00:00,суббота
Программное обеспечение микропроцессорных систем,Лабораторное занятие,Котов Е. С.,числитель,11:00:00,понедельник
Электроэнергетика,Лекция,Баландин В. С.,знаменатель,11:00:00,среда
Нелинейные системы автоматического регулирования,Лабораторное занятие,Лапина Л. М.,числитель,11:00:00,среда
Изменение климата и зеленая энергетика,Лекция,Драганова М. А.,знаменатель,11:00:00,четверг
Электрические машины,Лекция,Биличенко А. П.,-,11:00:00,пятница
Электрические машины,Лабораторное занятие,Биличенко А. П.,знаменатель,13:00:00,понедельник
Нелинейные системы автоматического регулирования,Лекция,Дайч Л. И.,знаменатель,13:00:00,четверг
Программное обеспечение микропроцессорных систем,Лекция,Сичкаренко А. В.,-,15:00:00,среда
Электроэнергетика,Лабораторное занятие,Биличенко Е. Н.,числитель,15:00:00,четверг
Изменение климата и зеленая энергетика,Семинар,Драганова М. А.,знаменатель,15:00:00,четверг
Профессиональный казахский язык,Семинар,Байпелова Г. С.,-,15:00:00,пятница
